tag,support,threshold,precision,recall,f1,auc_pr
low quality,144,0.44999998807907104,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9952663404693
instrumental,127,0.10000000149011612,0.6588235294117647,0.8818897637795275,0.7542087542087541,0.891162840644562
medium tempo,89,0.3499999940395355,0.6976744186046512,0.6741573033707865,0.6857142857142857,0.5916399668340891
energetic,81,0.5,0.72,0.6666666666666666,0.6923076923076923,0.7842950326347905
emotional,77,0.5,0.7611940298507462,0.6623376623376623,0.7083333333333334,0.8344114523508939
amateur recording,72,0.3499999940395355,0.6612903225806451,0.5694444444444444,0.6119402985074627,0.7077868075003668
noisy,66,0.30000001192092896,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.8977785486646279
fast tempo,66,0.5,0.9,0.6818181818181818,0.7758620689655172,0.8642176540119048
slow tempo,65,0.4000000059604645,0.6,0.5076923076923077,0.5499999999999999,0.6009210284279881
live performance,61,0.30000001192092896,0.7966101694915254,0.7704918032786885,0.7833333333333333,0.8288226227539027
passionate,60,0.5,0.7755102040816326,0.6333333333333333,0.6972477064220183,0.7108412276053224
acoustic drums,57,0.30000001192092896,0.7397260273972602,0.9473684210526315,0.8307692307692308,0.8587026598488416
uptempo,50,0.15000000596046448,0.32989690721649484,0.64,0.43537414965986393,0.3152926344719014
electric guitar,46,0.4000000059604645,0.6491228070175439,0.8043478260869565,0.7184466019417476,0.8155727233149314
bass guitar,45,0.3499999940395355,0.7916666666666666,0.8444444444444444,0.8172043010752689,0.8957325446609697
e-bass,44,0.44999998807907104,0.7954545454545454,0.7954545454545454,0.7954545454545455,0.8357689632486981
happy,44,0.550000011920929,0.9696969696969697,0.7272727272727273,0.8311688311688312,0.9121499927056158
groovy,43,0.30000001192092896,0.5869565217391305,0.627906976744186,0.6067415730337078,0.6766387402691927
acoustic guitar,41,0.550000011920929,0.6818181818181818,0.7317073170731707,0.7058823529411764,0.6424023307762123
electronic drums,41,0.20000000298023224,0.8461538461538461,0.8048780487804879,0.8250000000000001,0.89735269811488
piano,40,0.8500000238418579,0.8461538461538461,0.55,0.6666666666666667,0.8242551784869362
poor audio quality,39,0.5,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.7282818729542395
spirited,36,0.10000000149011612,0.29,0.8055555555555556,0.4264705882352941,0.3528988811721478
instrumental music,36,0.550000011920929,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.8679317146907807
youthful,33,0.10000000149011612,0.4411764705882353,0.9090909090909091,0.5940594059405941,0.6909321790625218
male vocal,33,0.800000011920929,0.84,0.6363636363636364,0.7241379310344828,0.8358112002335873
rock,33,0.15000000596046448,0.41935483870967744,0.7878787878787878,0.5473684210526315,0.7198500875754076
male voice,32,0.75,0.9130434782608695,0.65625,0.7636363636363634,0.8609659901940894
loud,30,0.30000001192092896,0.52,0.43333333333333335,0.4727272727272728,0.5132576985253196
fun,30,0.4000000059604645,0.8571428571428571,0.8,0.8275862068965518,0.8613312949557531
percussion,29,0.20000000298023224,0.3888888888888889,0.4827586206896552,0.43076923076923074,0.31242627170052006
punchy kick,28,0.8500000238418579,0.75,0.42857142857142855,0.5454545454545454,0.8145908525494207
mono,27,0.5,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.947288757055164
male singer,26,0.550000011920929,0.45,0.34615384615384615,0.3913043478260869,0.4573222939666759
upbeat,26,0.15000000596046448,0.2727272727272727,0.5769230769230769,0.37037037037037035,0.3891819154105415
e-guitar,25,0.699999988079071,0.6666666666666666,0.56,0.6086956521739131,0.704795534752428
no voices,25,0.20000000298023224,0.696969696969697,0.92,0.793103448275862,0.6811057466730236
punchy snare,24,0.30000001192092896,0.55,0.9166666666666666,0.6874999999999999,0.7707547538904276
moderate tempo,24,0.550000011920929,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.5468061180730586
pop,24,0.25,0.55,0.4583333333333333,0.5,0.5333459714990801
mellow,23,0.25,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.5996606366465517
romantic,21,0.4000000059604645,0.5833333333333334,0.3333333333333333,0.4242424242424242,0.5633242317640945
bass,20,0.10000000149011612,0.1590909090909091,0.35,0.21875,0.16512869455414017
relaxing,18,0.699999988079071,0.75,0.5,0.6,0.6603503485303814
groovy bass,18,0.10000000149011612,0.19480519480519481,0.8333333333333334,0.31578947368421056,0.244094205309588
shimmering hi hats,17,0.25,0.6153846153846154,0.9411764705882353,0.744186046511628,0.8991021620278588
easygoing,17,0.10000000149011612,0.45161290322580644,0.8235294117647058,0.5833333333333333,0.844008730457821
flat male vocal,16,0.5,0.8888888888888888,1.0,0.9411764705882353,1.0
exciting,8,0.20000000298023224,0.16129032258064516,0.625,0.2564102564102564,0.5840339725267247
no other instruments,5,0.5,0.14285714285714285,0.4,0.21052631578947364,0.13096592628457304
