tag,support,threshold,precision,recall,f1,auc_pr,group
electronic,100,0.3499999940395355,0.5612244897959183,0.55,0.5555555555555555,0.590663911815029,genre_top
experimental,100,0.8999999761581421,0.53125,0.34,0.4146341463414634,0.4545547124432697,genre_top
folk,100,0.30000001192092896,0.2857142857142857,0.16,0.20512820512820512,0.29113016055782126,genre_top
hip-hop,100,0.25,0.8135593220338984,0.48,0.6037735849056604,0.7369298720515947,genre_top
instrumental,100,0.8999999761581421,0.19230769230769232,0.05,0.07936507936507936,0.3167612365777738,genre_top
international,100,0.44999998807907104,0.9342105263157895,0.71,0.8068181818181819,0.9018606677011618,genre_top
pop,100,0.15000000596046448,0.2616822429906542,0.28,0.27053140096618356,0.30518670814640547,genre_top
rock,100,0.25,0.2717391304347826,0.75,0.3989361702127659,0.4057499593646696,genre_top
punk,49,0.15000000596046448,0.15384615384615385,0.4897959183673469,0.23414634146341465,0.21539933944502687,genre_sub
dubstep,28,0.949999988079071,0.6,0.10714285714285714,0.18181818181818182,0.4089446787167026,genre_sub
house,28,0.05000000074505806,0.2,0.07142857142857142,0.10526315789473682,0.14146695146690166,genre_sub
europe,24,0.05000000074505806,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7453734691509499,genre_sub
soundtrack,23,0.949999988079071,0.0,0.0,0.0,0.028655244953766812,genre_sub
experimental pop,23,0.10000000149011612,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13994486068954243,genre_sub
chip music,19,0.20000000298023224,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8198696416642344,genre_sub
metal,19,0.05000000074505806,0.52,0.6842105263157895,0.5909090909090909,0.6443585943531674,genre_sub
indie-rock,18,0.699999988079071,0.038461538461538464,0.05555555555555555,0.04545454545454546,0.06791896672193248,genre_sub
rap,17,0.05000000074505806,0.10526315789473684,0.11764705882352941,0.1111111111111111,0.1916416900596114,genre_sub
avant-garde,16,0.699999988079071,0.6666666666666666,0.5,0.5714285714285715,0.5190098376441044,genre_sub
techno,15,0.05000000074505806,0.2222222222222222,0.26666666666666666,0.2424242424242424,0.10555918700854153,genre_sub
balkan,12,0.05000000074505806,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3445079411393389,genre_sub
dance,12,0.6000000238418579,0.0,0.0,0.0,0.10447697990607527,genre_sub
garage,11,0.30000001192092896,0.041666666666666664,0.09090909090909091,0.05714285714285715,0.05525766051923034,genre_sub
ambient,11,0.44999998807907104,0.0,0.0,0.0,0.034780749927243323,genre_sub
reggae - dub,11,0.30000001192092896,0.55,1.0,0.7096774193548387,0.8603558807893174,genre_sub
chill-out,11,0.10000000149011612,0.0,0.0,0.0,0.010058478620461778,genre_sub
ambient electronic,10,0.949999988079071,0.14285714285714285,0.1,0.11764705882352941,0.06113537252020646,genre_sub
latin america,8,0.3499999940395355,1.0,0.125,0.2222222222222222,0.4431716833890747,genre_sub
noise,7,0.8999999761581421,0.5,0.14285714285714285,0.22222222222222224,0.1780703495357246,genre_sub
post-rock,6,0.05000000074505806,0.0,0.0,0.0,0.005491222241849027,genre_sub
chiptune,6,0.550000011920929,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.506043956043956,genre_sub
alternative hip-hop,4,0.05000000074505806,0.0,0.0,0.0,0.013443703850981939,genre_sub
singer-songwriter,2,0.05000000074505806,0.16666666666666666,0.5,0.25,0.2562111801242236,genre_sub
